customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,RFM_VALUE,State,Property_Valuation,Postcode,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,Age,RFM_VALUE,State,Property_Valuation,industry_rank,Cluster
829,Byran,Goodfield,M,84,2001-01-22,Environmental Tech,Financial Services,High Net Worth,N,Yes,2,22,434,VIC,8.0,3218.0,1,84,2,1,2,22,4,3,8,9,3
2869,Gavra,Woolvin,F,19,2001-01-16,Null,Manufacturing,Affluent Customer,N,No,2,22,132,NSW,9.0,2070.0,0,19,3,0,2,22,1,1,9,10,1
2392,Isadora,Gronaller,F,48,2001-01-11,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2,22,321,NSW,6.0,2573.0,0,48,3,0,2,22,3,1,6,10,0
2588,Kimball,Martinho,M,37,2001-01-02,Professor,Null,High Net Worth,N,No,2,22,113,NSW,10.0,2034.0,1,37,2,0,2,22,1,1,10,8,0
2998,Quintana,Housley,F,34,2000-12-19,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2,22,212,QLD,7.0,4556.0,0,34,2,1,2,22,2,2,7,10,0
3367,Melisse,Massei,F,75,2000-12-05,Librarian,Entertainment,Mass Customer,N,Yes,1,22,234,VIC,2.0,3677.0,0,75,1,1,1,22,2,3,2,3,0
3459,Emelda,Ramsdell,F,62,2000-11-24,Null,Entertainment,Mass Customer,N,Yes,2,22,212,QLD,10.0,4113.0,0,62,1,1,2,22,2,2,10,3,0
609,Margalit,Dorwood,F,32,2000-11-06,Computer Systems Analyst II,Health,Mass Customer,N,No,1,22,322,NSW,9.0,2176.0,0,32,1,0,1,22,3,1,9,7,0
913,Dayle,Spearman,F,67,2000-10-28,Null,Financial Services,Mass Customer,N,No,1,22,222,NSW,7.0,2222.0,0,67,1,0,1,22,2,1,7,9,0
2989,Mort,,M,37,2000-10-25,Dental Hygienist,Health,High Net Worth,N,Yes,2,22,244,NSW,10.0,2234.0,1,37,2,1,2,22,2,1,10,7,0
854,Charisse,Thoresby,F,35,2000-10-24,Marketing Manager,Null,Affluent Customer,N,No,2,22,422,VIC,7.0,3031.0,0,35,3,0,2,22,4,3,7,8,0
1354,Karee,Hyman,F,0,2000-10-15,Analyst Programmer,Financial Services,Affluent Customer,N,No,2,22,212,VIC,4.0,3444.0,0,0,3,0,2,22,2,3,4,9,1
1798,Eunice,Risom,F,46,2000-10-11,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1,22,443,VIC,6.0,3810.0,0,46,2,1,1,22,4,3,6,10,0
2398,Mirelle,,F,6,2000-10-11,Administrative Assistant IV,Financial Services,High Net Worth,N,Yes,1,22,111,QLD,5.0,4034.0,0,6,2,1,1,22,1,2,5,9,1
850,Nevin,Hanfrey,M,79,2000-09-24,Clinical Specialist,Health,Mass Customer,N,No,1,22,342,NSW,9.0,2163.0,1,79,1,0,1,22,3,1,9,7,0
3015,Queenie,Flips,F,25,2000-09-02,Assistant Manager,Retail,Affluent Customer,N,No,1,22,244,QLD,9.0,4214.0,0,25,3,0,1,22,2,2,9,6,1
373,Eva,Colenutt,F,95,2000-08-26,Structural Analysis Engineer,Health,High Net Worth,N,Yes,1,22,111,VIC,9.0,3931.0,0,95,2,1,1,22,1,3,9,7,3
3077,Emelen,Gillopp,M,19,2000-08-11,Information Systems Manager,Manufacturing,Affluent Customer,N,No,2,22,443,NSW,10.0,2099.0,1,19,3,0,2,22,4,1,10,10,1
110,Sascha,St. Quintin,M,23,2000-07-31,Null,Financial Services,Affluent Customer,N,No,1,22,442,VIC,8.0,3977.0,1,23,3,0,1,22,4,3,8,9,1
1778,Emera,Margrem,F,72,2000-07-30,Staff Accountant III,Null,Mass Customer,N,Yes,2,22,112,VIC,9.0,3930.0,0,72,1,1,2,22,1,3,9,8,0
1185,Xena,Rossbrooke,F,17,2000-07-23,VP Product Management,Null,Mass Customer,N,Yes,2,22,411,NSW,10.0,2213.0,0,17,1,1,2,22,4,1,10,8,1
2024,Elinor,Biggerstaff,F,69,2000-07-14,VP Sales,IT,Mass Customer,N,Yes,2,22,333,QLD,3.0,4306.0,0,69,1,1,2,22,3,2,3,4,0
15,Erroll,Radage,M,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1,22,331,NSW,9.0,2428.0,1,91,1,0,1,22,3,1,9,10,3
2645,Ado,Yaldren,M,20,2000-06-26,Technical Writer,IT,High Net Worth,N,Yes,1,22,331,NSW,12.0,2135.0,1,20,2,1,1,22,3,1,12,4,1
1951,Rockie,MacCosty,M,93,2000-06-07,Health Coach II,Manufacturing,Mass Customer,N,Yes,2,22,144,VIC,6.0,3199.0,1,93,1,1,2,22,1,3,6,10,3
1076,Siegfried,Trattles,M,33,2000-06-06,Pharmacist,Health,Affluent Customer,N,No,2,22,444,NSW,9.0,2515.0,1,33,3,0,2,22,4,1,9,7,0
2731,Meagan,Ferry,F,74,2000-05-18,Accounting Assistant III,Retail,Mass Customer,N,Yes,1,23,421,NSW,10.0,2196.0,0,74,1,1,1,23,4,1,10,6,0
3482,Roch,Rilston,F,71,2000-05-18,Clinical Specialist,Health,Affluent Customer,N,Yes,2,23,344,QLD,8.0,4069.0,0,71,3,1,2,23,3,2,8,7,0
2729,Meggi,Shipcott,F,76,2000-05-10,General Manager,Null,Mass Customer,N,Yes,1,23,434,VIC,5.0,3810.0,0,76,1,1,1,23,4,3,5,8,0
2504,Aloysius,Huffer,M,52,2000-04-29,Null,Property,Mass Customer,N,No,2,23,123,QLD,9.0,4060.0,1,52,1,0,2,23,1,2,9,5,0
519,Rabi,Nissle,M,83,2000-04-07,Null,Null,Mass Customer,N,Yes,1,23,222,VIC,12.0,3124.0,1,83,1,1,1,23,2,3,12,8,3
3201,Zed,Blanckley,M,61,2000-03-31,Assistant Professor,Financial Services,Mass Customer,N,Yes,1,23,344,NSW,8.0,2767.0,1,61,1,1,1,23,3,1,8,9,0
2541,Cleveland,Islep,M,17,2000-03-14,Software Engineer II,Financial Services,High Net Worth,N,Yes,2,23,312,NSW,10.0,2234.0,1,17,2,1,2,23,3,1,10,9,1
3363,Orson,Tythacott,M,25,2000-03-08,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,3,23,431,QLD,5.0,4825.0,1,25,2,1,3,23,4,2,5,10,1
3089,Wood,Nathan,M,27,2000-02-24,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2,23,323,QLD,7.0,4504.0,1,27,3,1,2,23,3,2,7,10,1
2134,Crosby,Ruoff,M,16,2000-02-21,Nurse,Manufacturing,Affluent Customer,N,No,2,23,223,VIC,3.0,3175.0,1,16,3,0,2,23,2,3,3,10,1
2938,Richardo,Cocher,M,79,2000-02-21,Assistant Manager,Argiculture,Affluent Customer,N,No,2,23,124,QLD,7.0,4005.0,1,79,3,0,2,23,1,2,7,2,0
59,Niki,Heathcote,M,60,2000-02-08,Physical Therapy Assistant,Null,High Net Worth,N,No,3,23,312,NSW,9.0,2046.0,1,60,2,0,3,23,3,1,9,8,0
1390,Christyna,Feldberg,F,74,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1,23,443,VIC,7.0,3082.0,0,74,2,1,1,23,4,3,7,6,0
1392,Marris,Waison,F,28,2000-01-15,Human Resources Manager,Financial Services,Mass Customer,N,No,1,23,113,VIC,6.0,3752.0,0,28,1,0,1,23,1,3,6,9,1
2337,Odilia,Bick,F,47,2000-01-11,Programmer Analyst II,Health,Mass Customer,N,No,1,23,111,NSW,6.0,2477.0,0,47,1,0,1,23,1,1,6,7,0
1229,Sebastian,Trass,M,38,2000-01-08,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1,23,343,NSW,11.0,2119.0,1,38,3,1,1,23,3,1,11,10,0
3423,Griselda,Bezants,F,57,1999-12-27,Registered Nurse,Health,Affluent Customer,N,No,1,23,221,VIC,9.0,3094.0,0,57,3,0,1,23,2,3,9,7,0
1080,Monah,Talbot,F,70,1999-12-26,Speech Pathologist,Property,Mass Customer,N,Yes,2,23,211,QLD,9.0,4220.0,0,70,1,1,2,23,2,2,9,5,0
2431,Alvy,Tyndall,M,15,1999-12-24,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2,23,111,QLD,10.0,4211.0,1,15,1,1,2,23,1,2,10,9,1
435,Jerome,Muggeridge,M,5,1999-12-23,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1,23,124,NSW,12.0,2068.0,1,5,1,0,1,23,1,1,12,1,1
644,Tomlin,Hastwall,M,59,1999-12-22,Administrative Officer,Health,Affluent Customer,N,No,2,23,111,NSW,1.0,2380.0,1,59,3,0,2,23,1,1,1,7,0
2833,Cy,Braim,M,60,1999-11-26,Null,IT,Mass Customer,N,Yes,3,23,432,NSW,4.0,2650.0,1,60,1,1,3,23,4,1,4,4,0
1599,Ozzy,Silver,M,65,1999-11-24,Null,Null,Affluent Customer,N,No,1,23,344,NSW,11.0,2035.0,1,65,3,0,1,23,3,1,11,8,0
803,Nina,Murcutt,F,96,1999-11-11,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,3,23,231,QLD,7.0,4551.0,0,96,2,0,3,23,2,2,7,10,3
3063,Andrea,Wildber,M,74,1999-11-04,VP Sales,Financial Services,Affluent Customer,N,No,2,23,121,QLD,6.0,4509.0,1,74,3,0,2,23,1,2,6,9,0
1436,Tonnie,Andryunin,M,40,1999-10-29,General Manager,Null,Affluent Customer,N,No,3,23,223,NSW,8.0,2756.0,1,40,3,0,3,23,2,1,8,8,0
1811,Sylvan,Sugge,M,59,1999-10-13,Null,Financial Services,Mass Customer,N,No,1,23,344,NSW,12.0,2011.0,1,59,1,0,1,23,3,1,12,9,0
3460,Reinhold,Barthrup,M,22,1999-10-10,Actuary,Financial Services,Mass Customer,N,No,2,23,244,VIC,10.0,3051.0,1,22,1,0,2,23,2,3,10,9,1
967,April,Causon,F,44,1999-10-04,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1,23,223,VIC,5.0,3241.0,0,44,3,1,1,23,2,3,5,10,0
2006,Hyacinthia,Tuley,F,33,1999-10-04,Senior Developer,Property,High Net Worth,N,Yes,2,23,122,NSW,4.0,2324.0,0,33,2,1,2,23,1,1,4,5,0
951,Meryl,Dumbar,M,44,1999-09-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,1,23,431,NSW,9.0,2570.0,1,44,1,0,1,23,4,1,9,3,0
2342,Clara,Jakel,F,87,1999-09-17,Null,Null,Mass Customer,N,No,2,23,222,NSW,9.0,2099.0,0,87,1,0,2,23,2,1,9,8,3
2093,Salem,Doiley,M,94,1999-09-10,Programmer II,Financial Services,High Net Worth,N,No,2,23,233,NSW,4.0,2330.0,1,94,2,0,2,23,2,1,4,9,3
2521,Kellia,Martugin,F,35,1999-08-29,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,3,23,112,VIC,7.0,3342.0,0,35,2,1,3,23,1,3,7,10,0
3055,Viki,Drache,F,96,1999-08-23,General Manager,Null,Mass Customer,N,Yes,2,23,244,QLD,6.0,4870.0,0,96,1,1,2,23,2,2,6,8,3
842,Mahmud,Dobbson,M,59,1999-08-16,Compensation Analyst,Financial Services,High Net Worth,N,No,2,23,222,VIC,6.0,3028.0,1,59,2,0,2,23,2,3,6,9,0
1028,Thorn,Torfin,M,10,1999-08-11,Project Manager,Null,High Net Worth,N,No,1,23,444,NSW,9.0,2046.0,1,10,2,0,1,23,4,1,9,8,1
164,Aarika,Van Vuuren,F,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1,23,111,QLD,4.0,4113.0,0,55,3,1,1,23,1,2,4,6,0
931,Katrina,Sappson,F,59,1999-08-07,Design Engineer,Manufacturing,Affluent Customer,N,Yes,1,23,222,VIC,8.0,3143.0,0,59,3,1,1,23,2,3,8,10,0
2755,Karen,La Wille,F,66,1999-07-28,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,1,23,344,QLD,6.0,4503.0,0,66,1,1,1,23,3,2,6,10,0
2929,Winny,Cakes,M,97,1999-07-28,Nurse,Retail,Mass Customer,N,No,2,23,444,QLD,3.0,4883.0,1,97,1,0,2,23,4,2,3,6,3
3386,Cliff,Nolin,M,24,1999-07-28,Structural Engineer,IT,High Net Worth,N,Yes,2,23,422,NSW,1.0,2705.0,1,24,2,1,2,23,4,1,1,4,1
1430,Kalli,Pigeram,F,86,1999-07-24,Biostatistician I,Manufacturing,Mass Customer,N,Yes,3,23,131,NSW,8.0,2759.0,0,86,1,1,3,23,1,1,8,10,3
3188,Boyd,,M,94,1999-07-07,Actuary,Financial Services,Mass Customer,N,No,1,23,121,VIC,9.0,3085.0,1,94,1,0,1,23,1,3,9,9,3
2259,Leanora,Calbert,F,83,1999-07-02,Environmental Specialist,Null,Affluent Customer,N,No,2,23,122,NSW,5.0,2320.0,0,83,3,0,2,23,1,1,5,8,3
804,Henrietta,Seater,F,98,1999-06-17,Technical Writer,Null,High Net Worth,N,Yes,1,23,313,QLD,7.0,4006.0,0,98,2,1,1,23,3,2,7,8,3
914,Marc,Egleton,M,73,1999-06-16,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,2,23,122,VIC,8.0,3124.0,1,73,3,1,2,23,1,3,8,10,0
3152,Lettie,McGenis,F,6,1999-06-07,Teacher,Financial Services,High Net Worth,N,Yes,3,23,432,QLD,7.0,4034.0,0,6,2,1,3,23,4,2,7,9,1
2543,Horacio,Kitchin,M,41,1999-06-03,Web Developer III,Null,Affluent Customer,N,No,2,23,324,NSW,10.0,2117.0,1,41,3,0,2,23,3,1,10,8,0
1984,Hewett,Alessandretti,M,70,1999-06-01,Information Systems Manager,Health,Mass Customer,N,Yes,1,23,244,NSW,10.0,2077.0,1,70,1,1,1,23,2,1,10,7,0
334,Fredi,Iannuzzelli,F,71,1999-05-20,Financial Advisor,Financial Services,Affluent Customer,N,Yes,3,24,232,VIC,2.0,3356.0,0,71,3,1,3,24,2,3,2,9,0
377,Levy,Bonavia,M,65,1999-05-19,Staff Scientist,Argiculture,Mass Customer,N,No,1,24,444,NSW,5.0,2265.0,1,65,1,0,1,24,4,1,5,2,0
351,Dev,Hafner,M,69,1999-05-12,Pharmacist,Health,Mass Customer,N,Yes,2,24,411,VIC,10.0,3131.0,1,69,1,1,2,24,4,3,10,7,0
3133,Eda,MacCheyne,F,89,1999-05-10,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2,24,432,NSW,8.0,2566.0,0,89,1,0,2,24,4,1,8,10,3
2620,Henderson,Koubek,M,26,1999-04-30,Civil Engineer,Manufacturing,Mass Customer,N,No,1,24,344,NSW,10.0,2190.0,1,26,1,0,1,24,3,1,10,10,1
3379,Elysee,Spurr,F,51,1999-04-30,Food Chemist,Health,Mass Customer,N,Yes,2,24,334,VIC,11.0,3146.0,0,51,1,1,2,24,3,3,11,7,0
361,Stephana,Minero,F,59,1999-03-27,Software Engineer IV,Health,Mass Customer,N,Yes,2,24,143,NSW,11.0,2075.0,0,59,1,1,2,24,1,1,11,7,0
421,Tish,Netti,F,26,1999-03-19,Sales Representative,Retail,Mass Customer,N,Yes,2,24,233,NSW,3.0,2330.0,0,26,1,1,2,24,2,1,3,6,1
586,Jayme,Baunton,F,63,1999-03-15,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4,24,123,NSW,9.0,2539.0,0,63,1,0,4,24,1,1,9,10,0
2741,Reinwald,Sinkins,M,6,1999-02-28,Statistician II,Property,High Net Worth,N,No,4,24,312,QLD,2.0,4740.0,1,6,2,0,4,24,3,2,2,5,1
3131,Sybilla,O' Markey,F,63,1999-02-24,Null,Retail,Affluent Customer,N,Yes,3,24,342,VIC,10.0,3149.0,0,63,3,1,3,24,3,3,10,6,0
875,Caryl,Linnett,M,34,1999-02-23,Recruiting Manager,Financial Services,Mass Customer,N,Yes,2,24,234,VIC,9.0,3034.0,1,34,1,1,2,24,2,3,9,9,0
2704,Orlando,Gniewosz,M,6,1999-02-08,Account Representative IV,Retail,Affluent Customer,N,Yes,3,24,111,NSW,5.0,2261.0,1,6,3,1,3,24,1,1,5,6,1
116,Scottie,Swiffen,M,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,24,442,NSW,8.0,2168.0,1,49,3,1,2,24,4,1,8,10,0
3357,Georgie,Henze,M,25,1999-02-01,Design Engineer,Manufacturing,Affluent Customer,N,No,4,24,321,QLD,4.0,4207.0,1,25,3,0,4,24,3,2,4,10,1
2744,Bjorn,Isitt,M,59,1999-01-25,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3,24,111,NSW,1.0,2843.0,1,59,1,0,3,24,1,1,1,9,0
1724,Davita,Pristnor,F,28,1999-01-24,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4,24,121,NSW,12.0,2137.0,0,28,2,1,4,24,1,1,12,3,1
2302,Loraine,Beamish,F,43,1999-01-09,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4,24,212,VIC,8.0,3804.0,0,43,1,1,4,24,2,3,8,6,0
906,Cammy,Marcroft,M,73,1998-12-30,Financial Analyst,Financial Services,High Net Worth,N,Yes,3,24,444,VIC,9.0,3150.0,1,73,2,1,3,24,4,3,9,9,0
772,Lorianna,Vidyapin,F,12,1998-12-26,Community Outreach Specialist,Entertainment,Mass Customer,N,No,4,24,434,NSW,7.0,2567.0,0,12,1,0,4,24,4,1,7,3,1
826,Marc,Waddilove,M,92,1998-12-25,Recruiting Manager,Financial Services,Mass Customer,N,Yes,1,24,421,NSW,8.0,2759.0,1,92,1,1,1,24,4,1,8,9,3
3494,Robers,Richen,M,72,1998-12-24,Account Representative IV,Argiculture,High Net Worth,N,No,1,24,422,NSW,10.0,2033.0,1,72,2,0,1,24,4,1,10,2,0
2203,Ganny,Alessandrelli,M,13,1998-12-23,Sales Associate,Health,High Net Worth,N,Yes,2,24,223,NSW,10.0,2026.0,1,13,2,1,2,24,2,1,10,7,1
1415,Merilyn,Dikle,F,68,1998-12-14,Executive Secretary,Property,High Net Worth,N,Yes,3,24,223,NSW,8.0,2774.0,0,68,2,1,3,24,2,1,8,5,0
2828,Philippine,Maycey,F,37,1998-12-14,Null,Health,High Net Worth,N,Yes,4,24,111,VIC,10.0,3015.0,0,37,2,1,4,24,1,3,10,7,0
2201,Trisha,Basset,F,56,1998-12-12,Design Engineer,Financial Services,Affluent Customer,N,Yes,1,24,344,QLD,7.0,4055.0,0,56,3,1,1,24,3,2,7,9,0
704,Lindsay,Acaster,F,49,1998-12-08,Research Nurse,Health,Mass Customer,N,No,4,24,443,NSW,11.0,2571.0,0,49,1,0,4,24,4,1,11,7,0
1534,Rosabelle,Hollington,F,74,1998-11-30,Human Resources Assistant I,Manufacturing,Mass Customer,N,No,4,24,243,NSW,9.0,2168.0,0,74,1,0,4,24,2,1,9,10,0
774,Phelia,Perotti,F,79,1998-11-27,Operator,Manufacturing,High Net Worth,N,No,1,24,111,VIC,8.0,3183.0,0,79,2,0,1,24,1,3,8,10,0
1432,Hiram,Kittiman,M,70,1998-11-26,Tax Accountant,Argiculture,High Net Worth,N,Yes,2,24,333,NSW,8.0,2759.0,1,70,2,1,2,24,3,1,8,2,0
2016,Laraine,Merioth,F,89,1998-11-19,Executive Secretary,Retail,Affluent Customer,N,Yes,1,24,232,NSW,11.0,2126.0,0,89,3,1,1,24,2,1,11,6,3
1278,Betsy,Schruurs,F,14,1998-11-15,Pharmacist,Health,Affluent Customer,N,No,2,24,221,QLD,4.0,4370.0,0,14,3,0,2,24,2,2,4,7,1
1428,Morissa,Ozintsev,F,93,1998-11-15,Sales Representative,Retail,High Net Worth,N,No,1,24,444,NSW,8.0,2760.0,0,93,2,0,1,24,4,1,8,6,3
2147,Franzen,Kielty,M,42,1998-11-04,Engineer IV,Null,High Net Worth,N,Yes,1,24,111,NSW,8.0,2148.0,1,42,2,1,1,24,1,1,8,8,0
2626,Gerome,Lawrenz,M,42,1998-10-24,Account Coordinator,Property,Affluent Customer,N,Yes,4,24,322,NSW,5.0,2462.0,1,42,3,1,4,24,3,1,5,5,0
1334,Cicily,Jenks,F,72,1998-10-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,4,24,111,VIC,2.0,3840.0,0,72,1,0,4,24,1,3,2,9,0
2875,Keven,Leahair,M,71,1998-10-23,Financial Analyst,Financial Services,High Net Worth,N,No,2,24,323,QLD,9.0,4221.0,1,71,2,0,2,24,3,2,9,9,0
1187,Antonino,Hogben,M,65,1998-10-21,Null,Financial Services,Mass Customer,N,No,1,24,221,VIC,1.0,3644.0,1,65,1,0,1,24,2,3,1,9,0
2365,Lauretta,Furmonger,F,2,1998-10-18,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3,24,422,QLD,6.0,4127.0,0,2,1,1,3,24,4,2,6,2,1
2427,Myrta,Whibley,F,20,1998-10-15,Senior Developer,Null,High Net Worth,N,Yes,2,24,434,NSW,8.0,2147.0,0,20,2,1,2,24,4,1,8,8,1
2266,Jeth,Tomes,M,74,1998-10-11,Null,Retail,High Net Worth,N,No,1,24,343,NSW,6.0,2484.0,1,74,2,0,1,24,3,1,6,6,0
3095,Joachim,,M,14,1998-10-11,Staff Accountant IV,Retail,High Net Worth,N,Yes,2,24,322,VIC,10.0,3141.0,1,14,2,1,2,24,3,3,10,6,1
2377,Kristien,Dunne,F,29,1998-10-02,Analog Circuit Design manager,IT,High Net Worth,N,No,2,24,424,VIC,11.0,3147.0,0,29,2,0,2,24,4,3,11,4,1
1380,Lavina,Clavey,F,99,1998-09-30,Financial Analyst,Financial Services,Mass Customer,N,No,3,24,112,VIC,9.0,3791.0,0,99,1,0,3,24,1,3,9,9,3
2300,Cary,Cockerham,M,20,1998-09-26,Null,Financial Services,Mass Customer,N,Yes,3,24,322,QLD,8.0,4228.0,1,20,1,1,3,24,3,2,8,9,1
